CONTENT,lang,latitude,longitude,created_at,COUNTRY,id_str,cleaned_content,target,color
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.68945633000004,139.6917160900001,Thu Jul 21 00:19:55 +0000 2022,Japan,1549912016466640896,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.08943222000005,137.07486605000008,Thu Jul 21 00:20:34 +0000 2022,Japan,1549912178635214849,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.180225980000046,136.90673880000008,Thu Jul 21 00:18:24 +0000 2022,Japan,1549911636978573313,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,39.852086480000025,141.16485932000012,Thu Jul 21 00:18:12 +0000 2022,Japan,1549911583991955456,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.60747426000006,140.10662849000005,Thu Jul 21 00:17:47 +0000 2022,Japan,1549911478597459968,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.45039772000007,139.63424714000007,Thu Jul 21 00:20:19 +0000 2022,Japan,1549912117700362240,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.67290023400005,139.90120918800005,Thu Jul 21 00:20:18 +0000 2022,Japan,1549912112419721216,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.68945633000004,139.6917160900001,Thu Jul 21 00:17:54 +0000 2022,Japan,1549911509081346049,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"私達が子供のときは新型コロナウイルスなんて存在しなかったし、
ワクチンがなかったので、ヒブや肺炎球菌による髄膜炎で多くの子供が命を落としていました。

さらに麻疹等のワクチンがなかった時代は20%程度は子供のうちに死亡しました。

典型的な生存者バイアスです。 https://t.co/STPJ7JVLTa",ja,35.64654360000003,139.65322156000002,Thu Jul 21 00:20:29 +0000 2022,Japan,1549912161505656832,子供 新型 コロナ ウイルス 存在 ワクチン 肺炎 球菌 髄膜 子供 命 落とす 麻疹 ワクチン 時代 程度 子供 死亡 典型 生存 バイアス,Anti-Vax,red
"Effectiveness of BNT162b2 Vaccine against Omicron in Children 5 to 11 Years of Age | NEJM 

5〜11歳の小児におけるオミクロンに対するBNT162b2ワクチンの有効性
https://t.co/g7rDAECb4c",ja,36.655226998000046,139.27149500000007,Thu Jul 21 00:16:14 +0000 2022,Japan,1549911092209455104,小児 対する ワクチン,Pro-Vax,green
